time1,Statistic1_x,Statistic1_y,Statistic1_z,Statistic1_r,Statistic1_theta,Statistic1_phi,Variance_x,Variance_y,Variance_z,Variance_r,Variance_theta,Variance_phi,skewness_x,skewness_y,skewness_z,skewness_r,skewness_theta,skewness_phi,kurtosis_x,kurtosis_y,kurtosis_z,kurtosis_r,kurtosis_theta,kurtosis_phi,max_x,max_y,max_z,max_r,max_theta,max_phi,min_x,min_y,min_z,min_r,min_theta,min_phi,Class
0,-0.0565274,0.018975117,0.007425042,0.0103868,1.874277625,12.20292283,0.096658461,0.098589267,0.10996396,0.104936051,5.868212344,22.82471216,0.642411798,0.537076802,0.660932849,0.296765929,-0.068353869,-0.31098435,0.079067792,1.127226255,0.998556834,0.90839759,-0.008705948,0.65069299,0.1735535,0.3081385,0.294347,0.272793,14.894902,75.6989285,-0.2310935,-0.2156085,-0.243555,-0.2372935,-12.7146115,-46.360159,0
6.0860753,-0.02056965,0.130903892,-0.031611883,0.004646508,7.425364692,-2.799730383,0.103767464,0.128906088,0.108562539,0.098001937,7.652845543,18.92915841,-0.084502053,0.229535018,0.561383111,-0.01753722,0.021898087,0.335133067,-0.716947087,-0.887272515,-0.037086335,-0.11276641,-0.684386714,-0.271929286,0.19381,0.417232,0.2660365,0.234012,24.7157685,42.208771,-0.2218195,-0.1096875,-0.214268,-0.200607,-7.9752865,-38.56464,0
12.1728859,-0.04640715,0.009534158,0.0216007,0.024240867,2.0208121,12.83824323,0.130630854,0.083303648,0.164680727,0.158526955,6.439234001,24.6131838,-0.08239781,-0.284432283,0.410903322,0.19934761,-0.071268625,0.021524096,-0.236017128,-0.796030922,0.387708687,0.221137085,-0.516063092,0.078356062,0.281427,0.156823,0.448103,0.4252835,14.689757,71.062683,-0.3084595,-0.1929115,-0.33044,-0.334983,-13.60841,-49.4608215,0
18.2605858,0.016793475,-0.047107425,0.038050167,0.031073258,-0.639997917,30.4909018,0.126682928,0.155604828,0.156633477,0.14934204,6.960209016,65.49501141,-0.054474944,-0.230095549,0.01645898,-0.116604816,0.195339935,1.234370639,-0.36998318,-0.541861525,0.080077178,-0.004258196,-0.798126121,1.574424769,0.3065645,0.2227185,0.41003,0.3776845,17.3331775,233.0173035,-0.288935,-0.3927945,-0.332148,-0.318951,-13.09142,-91.8225135,0
24.3473721,0.061527075,-0.010710358,0.030610508,0.014847808,-2.169147017,2.041392125,0.114492555,0.082364839,0.119031225,0.119714566,4.633294015,51.53716495,0.653910193,-0.433752236,0.971108509,0.916498726,-0.182073639,2.292284798,0.12222046,0.421914831,1.375325268,1.378864561,0.135038113,7.532548216,0.3810025,0.1844015,0.4337035,0.398335,8.893823,233.183197,-0.1254165,-0.2151205,-0.2313525,-0.267903,-13.9932445,-73.8933565,0
30.4345379,0.064179183,-0.00836335,0.031330467,0.015238875,-2.218490175,-15.06314357,0.116809166,0.068966577,0.112967833,0.113317389,4.405740652,30.6125374,0.009720058,0.055077003,0.037069524,-0.01746223,-0.175207068,0.100100089,-1.152340366,0.645020562,1.447392969,1.379620844,-0.457095839,-0.666576892,0.2963145,0.2014855,0.4073455,0.380558,6.395463,65.633942,-0.1305415,-0.179732,-0.258931,-0.279335,-12.806207,-81.596626,0
36.521759,0.074814033,0.035969658,0.025086667,0.022368042,0.874479442,-11.99376504,0.130500938,0.100490133,0.118946849,0.117833446,5.295093769,37.12028424,0.285950002,-0.651679549,-0.067935314,-0.215254683,-0.15754241,1.65996813,-0.093676755,2.023835843,-0.065818983,-0.018525846,-0.603505202,5.697906995,0.39711,0.275679,0.3141155,0.2944485,11.9089905,157.5674595,-0.206444,-0.339834,-0.2743065,-0.2777305,-9.308455,-67.675188,0
42.6085167,0.001399567,-0.030226825,0.023020283,0.009717717,-1.888134658,7.353671983,0.126639142,0.083627731,0.0835033,0.085963164,5.043127607,37.67687714,0.653357032,-0.154809485,0.294494489,0.551235585,0.215828851,0.543998905,0.476588308,0.679984575,0.893833482,1.749542309,0.15199513,1.983226838,0.4085805,0.207343,0.298984,0.327913,12.404977,141.896286,-0.238171,-0.2588065,-0.1835175,-0.20393,-12.1804375,-76.022648,0
48.6941261,0.05720525,0.032772575,0.023272525,0.0241173,1.547641525,-12.27597393,0.146244965,0.110249821,0.147014215,0.143626197,6.156849671,35.25873095,-0.008803732,0.287134932,0.25218744,0.046203288,0.01185252,0.038165676,-0.628431487,-0.50352183,1.187147763,1.396601197,-0.539024312,-0.589964698,0.410533,0.294959,0.452496,0.4256485,14.1313775,59.5448915,-0.2342665,-0.148981,-0.3567975,-0.3965765,-12.097678,-71.925156,0
54.7800484,-0.002499275,-0.037156025,0.02790555,0.017952333,-0.754147342,14.18205176,0.149825167,0.098522481,0.131901138,0.132663674,6.389942099,45.77454119,0.697550395,0.278855699,-0.241509612,-0.168998938,0.305262728,0.475201982,0.246277911,0.556568134,-0.012117869,-0.111571109,0.145971295,2.93889213,0.4176105,0.273238,0.308502,0.315452,18.7772885,195.221893,-0.2450045,-0.242211,-0.293099,-0.2884,-13.10493,-91.472416,0
60.8673325,-0.158055833,0.2467169,0.1122715,-0.007114667,-8.774137125,-34.90973408,0.092862507,0.17841534,0.132589199,0.105145337,11.03007151,37.1142844,-0.286684721,0.72051716,0.358280892,1.772211693,0.214125649,0.489123997,-0.781134754,1.035639241,-0.221826908,7.822092332,-1.565400868,-1.407557455,0.024809,0.804694,0.5122015,0.4832815,11.300678,30.721535,-0.3478665,-0.0057195,-0.1274725,-0.306391,-23.8613995,-87.077465,0
66.9419356,-0.174933508,0.28300965,0.156309158,-0.008785025,-13.10523243,-38.5181944,0.149239505,0.278045616,0.124754161,0.119416598,8.072183646,56.27984046,1.412412174,-1.732384514,1.654639042,1.720490146,-0.200881456,2.08450338,3.201135476,2.293750385,4.143699287,4.450787927,0.052694422,3.075395779,0.437998,0.670951,0.646433,0.488295,5.552607,139.8121185,-0.426697,-0.5554365,-0.0891555,-0.213591,-32.0023025,-111.657898,3
73.0266254,-0.0832778,0.054149,0.137866583,0.002270058,-9.570526433,4.268700958,0.196403352,0.444706948,0.217499017,0.136289505,15.01639627,80.69621755,0.488014481,-0.402202213,-0.60473482,0.632849354,1.066447823,0.407111209,-1.023973162,-1.468343584,0.800751617,-0.327141794,1.715376012,-1.679315503,0.314505,0.6816895,0.585907,0.3539955,45.8310585,128.0296785,-0.4493945,-0.670876,-0.585812,-0.210437,-32.37115,-90.8260345,3
