time1,Statistic1_x,Statistic1_y,Statistic1_z,Statistic1_r,Statistic1_theta,Statistic1_phi,Variance_x,Variance_y,Variance_z,Variance_r,Variance_theta,Variance_phi,skewness_x,skewness_y,skewness_z,skewness_r,skewness_theta,skewness_phi,kurtosis_x,kurtosis_y,kurtosis_z,kurtosis_r,kurtosis_theta,kurtosis_phi,max_x,max_y,max_z,max_r,max_theta,max_phi,min_x,min_y,min_z,min_r,min_theta,min_phi,Class
0,-0.048389617,0.111166642,-0.027617758,0.013429608,7.017333433,7.262247633,0.092610917,0.131441977,0.093881987,0.069815449,8.086609849,18.88959817,0.391645434,-0.273477587,0.202485346,-0.411055724,-0.023901659,0.68434203,-0.813372919,-0.806061939,-0.501999549,0.692155621,-0.980144171,1.524187674,0.183698,0.2967365,0.200806,0.180837,20.6415255,68.545952,-0.2019125,-0.1611455,-0.20436,-0.1759705,-9.5493935,-32.4890845,0
2.9711912,-0.01634285,-0.018996725,0.018054983,0.0116829,-0.773403208,4.761416392,0.095175312,0.058492489,0.08941828,0.088624505,3.232217667,25.55181198,0.782547264,-0.313832847,1.330038085,1.125509334,-0.323329668,-1.116081559,0.110640178,-0.754381804,2.86727625,2.334069733,-0.497376333,0.904549043,0.2258585,0.0752855,0.364477,0.344623,5.7696655,49.7636795,-0.1887945,-0.1461055,-0.1350475,-0.140559,-7.77909,-67.8048515,0
5.9425049,0.037613158,0.055463125,-0.014030875,-0.004115825,2.86448805,-7.525168067,0.059137681,0.06577667,0.092769135,0.089019388,3.833103241,12.74995396,0.978153827,-0.155028206,0.184124085,-0.038994068,-0.572664073,-1.009868346,0.457602618,-1.12922593,-0.110877241,0.073364919,-0.61620449,0.971046772,0.203863,0.1658915,0.2130085,0.2057955,8.8412915,13.035854,-0.041292,-0.0579095,-0.197008,-0.200485,-6.140243,-46.729683,0
8.9136963,-0.01686655,-0.019359883,0.019435933,0.012550325,-1.303909883,10.31798278,0.05750706,0.090567332,0.08988041,0.086372889,4.697068098,21.93557346,0.089676762,-0.298285584,-0.334924134,-0.320015955,0.009518212,1.008747468,0.228868202,-1.026209461,0.044662133,-0.322470653,-0.470028319,0.935236922,0.1332695,0.129435,0.222435,0.2017305,9.4297025,72.887062,-0.166128,-0.1903405,-0.203841,-0.184343,-10.7293605,-27.1960525,0
11.8849173,0.016958192,0.049503583,-0.008977417,0.003116425,3.12356575,-1.576113542,0.092258186,0.084125879,0.083161801,0.076439384,4.385824537,22.24295332,-0.348883201,-0.433398887,0.488465658,0.306138939,-0.792614798,0.752243302,0.225075701,-0.596208304,-0.539892375,-0.865967748,-0.131427996,1.153274487,0.200233,0.203903,0.1887865,0.166034,9.182734,64.0488585,-0.2229325,-0.13015,-0.1399285,-0.120953,-8.7562755,-49.8373525,0
14.8562498,-0.0203429,0.057574192,0.001501258,0.013915008,3.069197333,5.805938617,0.072055178,0.077040069,0.094530247,0.089200867,4.306416035,16.37435232,0.466672795,-0.280771032,0.598366185,0.453400716,-0.189329241,-0.03533154,-0.453625885,-0.972114242,0.462833511,0.281393085,-1.225770198,-0.387453471,0.1670705,0.188222,0.255535,0.244034,10.414834,40.676941,-0.1626805,-0.1055305,-0.201553,-0.1795315,-4.7451875,-35.536608,0
17.8275928,-0.043339692,0.009578358,0.003130458,0.006236325,1.242739408,11.42988525,0.090375217,0.087131387,0.125681688,0.123000634,4.845445068,23.15079199,-0.321846206,-0.052269152,0.666926383,0.474188462,0.320760583,0.21524937,0.019967992,-0.927973889,-0.341268595,-0.484841548,-0.355565668,-0.013555509,0.130097,0.1762335,0.331254,0.319152,12.9215415,63.1541905,-0.2869055,-0.156813,-0.223152,-0.2240405,-8.941411,-39.782736,0
20.7989979,-0.0167283,-0.002947533,0.009105767,0.005753417,0.025526442,5.7133469,0.07896783,0.068939082,0.080546812,0.075675731,3.726796464,22.38553505,0.854992774,-0.1858022,0.182883702,0.057920856,-0.33939301,-0.559215512,0.013331231,-1.049769643,-0.082223462,-0.154676543,-0.582996855,0.156851191,0.193674,0.125835,0.225181,0.19575,6.632798,54.469406,-0.1598745,-0.1331705,-0.1611305,-0.1554715,-8.6660005,-52.1892415,0
23.7703419,-0.031451075,0.030513817,0.0018583,0.00622855,1.705677642,7.834998867,0.070864952,0.060927001,0.057913446,0.052977465,3.309358327,17.22277672,-0.00517773,-0.194316147,0.600653067,0.477942158,-0.209382626,0.010979745,-0.297976908,-0.961719506,0.274596927,0.017397234,-1.159270281,0.375325458,0.1463875,0.127239,0.1660575,0.1508945,7.3059785,49.0698775,-0.180009,-0.103731,-0.110612,-0.090249,-4.8450875,-38.9404125,0
26.7415352,0.000934392,-0.029382325,0.012728417,0.002949633,-1.6759316,0.943933942,0.079714992,0.065877407,0.086632922,0.084135768,3.814719835,23.68055779,-0.368305055,-0.06220822,0.165860298,-0.027143343,0.016888739,-0.126849693,-0.436687295,-1.055938657,1.118051945,1.009197829,-1.058767736,-0.653185188,0.1784805,0.0996915,0.281161,0.253202,5.0927795,47.030441,-0.175036,-0.149827,-0.222298,-0.2318005,-8.3477955,-53.9358785,0
29.7126656,-0.003414492,-0.016501742,0.01770825,0.009778875,-1.1315983,3.753031208,0.072469134,0.061728245,0.07425389,0.0717991,3.191359488,22.09269661,0.152473324,-0.204009232,0.179670755,0.038738923,-0.057778556,0.227115442,-0.819840491,-1.128838131,0.099563052,0.331440887,-1.063351654,-0.417658434,0.132934,0.083308,0.2115445,0.197073,4.8849145,52.7276155,-0.1615215,-0.1350005,-0.145206,-0.1604625,-7.349586,-38.012432,0
