time1,Statistic1_x,Statistic1_y,Statistic1_z,Statistic1_r,Statistic1_theta,Statistic1_phi,Variance_x,Variance_y,Variance_z,Variance_r,Variance_theta,Variance_phi,skewness_x,skewness_y,skewness_z,skewness_r,skewness_theta,skewness_phi,kurtosis_x,kurtosis_y,kurtosis_z,kurtosis_r,kurtosis_theta,kurtosis_phi,max_x,max_y,max_z,max_r,max_theta,max_phi,min_x,min_y,min_z,min_r,min_theta,min_phi,Class
0,-0.093846492,0.2912145,-0.065266383,-0.026623325,8.615643883,-78.02073589,0.099959162,0.078326113,0.135475553,0.123583615,4.932593648,17.6154152,-0.284044455,-0.946846906,0.698285614,0.56012908,-0.050768283,-0.764155243,0.58681877,0.876956798,0.502378468,0.521171013,0.152199804,1.048350278,0.1417255,0.4352225,0.384446,0.3793525,22.3889505,-36.687031,-0.415335,0.070845,-0.2876885,-0.251427,-3.2442375,-128.432396,0
2.9634225,-0.084955567,0.241724683,-0.012451408,0.01090975,5.493564983,-78.86603338,0.122899983,0.095770389,0.2059347,0.198877009,6.738654317,19.80614932,0.643287796,0.052496505,-0.009457408,0.012473693,0.514836329,-0.539003858,-0.25031346,-0.015082004,-0.481607062,-0.793404494,0.614837275,-0.684197327,0.219214,0.4923935,0.513308,0.4841315,23.536821,-47.7891005,-0.2990415,0.0107455,-0.446447,-0.363261,-9.703642,-125.9195095,0
5.9267402,-0.053508933,0.16413285,-7.06E-05,0.011751917,3.948980217,-81.97039352,0.174036236,0.089443695,0.334898789,0.329988461,10.66135216,31.80920294,0.13034333,-0.212154284,0.075082719,0.309990412,2.207984118,0.600691364,-0.484105037,-0.667065295,-0.680854275,-0.776025311,5.549373678,-0.323025179,0.3206805,0.335891,0.754071,0.7859975,47.829935,0.1189345,-0.439253,-0.030805,-0.7227805,-0.5534795,-11.13632,-126.0365945,0
8.8898449,-0.042556767,0.188917767,-0.033718858,0.005638117,11.12935503,-89.47395271,0.153177508,0.10481707,0.408693827,0.350814915,22.03876504,32.46619103,0.044121643,-0.642391574,-0.542541236,-0.165206509,3.140212972,-0.130571317,-0.377014127,-0.149258084,0.079169697,-0.68586375,10.82952371,-0.426850608,0.284073,0.368229,0.7972685,0.7636255,114.1226345,-15.0173415,-0.4018505,-0.063386,-1.158118,-0.788766,-10.311955,-158.318359,0
11.8530407,-0.033014142,0.150723875,0.010509275,0.017200258,3.674614658,-85.72080352,0.151109193,0.099955244,0.342601024,0.33349506,8.066161562,49.12490034,0.264082526,-0.517655426,-0.078834738,-0.055729356,0.559252557,3.049291069,0.308428875,-0.357804888,-1.231403694,-1.238619556,0.126587616,15.73068556,0.3692485,0.3449825,0.583657,0.5832265,27.353294,196.7196655,-0.35969,-0.078518,-0.5692685,-0.584261,-10.8176145,-159.118057,0
14.8161497,0.0315237,0.163475892,0.0150509,0.029704183,3.660056008,-99.47034061,0.150833539,0.081821681,0.241786231,0.242997208,6.97017609,25.71950074,0.349400818,-0.162074367,0.156780127,0.170753149,-0.162433122,0.9419565,-0.227924858,-0.370907232,-0.31198524,-0.317343389,-0.90345855,0.161191885,0.4001215,0.3223455,0.5729195,0.5672185,16.072893,-25.223175,-0.233634,-0.042764,-0.5388225,-0.516498,-10.618079,-146.0297925,0
17.7792854,-0.04217035,-0.020295208,0.030928858,0.014098092,-2.7169186,-33.38582731,0.163947255,0.105497209,0.31412391,0.317215774,5.652832414,111.9396429,-0.030651357,-0.353751591,-0.277789108,-0.258228865,0.414961573,0.676143985,-0.997335838,-0.289628441,-0.69313589,-0.639344505,-0.340164016,-0.933405428,0.2724795,0.1933615,0.5501,0.533012,11.659196,184.5250855,-0.356944,-0.2900545,-0.7620125,-0.7925255,-13.9648155,-157.6693575,0
20.7423897,-0.061947167,0.060671775,0.015868375,0.003845325,-2.569612717,-58.05667924,0.105212344,0.132794806,0.223297036,0.208942834,8.502166974,79.7468369,0.915456603,-0.083848974,-0.08830054,-0.103040588,0.998673992,1.673592853,1.411884911,-0.31281779,-0.093380643,0.181846759,-0.015042726,1.783802428,0.284378,0.343579,0.4848145,0.447831,19.4177515,178.1457825,-0.2269835,-0.24704,-0.539677,-0.5513905,-13.1127545,-146.92276,0
23.7055359,-0.019613317,0.02837695,0.057152708,0.044773083,-1.7214178,-34.96987391,0.141128123,0.121804346,0.294731873,0.292324592,6.065939118,121.5704942,-0.488980436,0.438621835,-0.206426765,-0.240707378,0.734972929,0.972167203,-0.278575914,-0.511384738,-0.753765197,-0.776128285,0.586211499,-0.593969784,0.2608255,0.2794525,0.616361,0.5952095,17.2262615,194.9537965,-0.365791,-0.2118345,-0.559812,-0.558666,-12.0896195,-157.6291655,0
26.6687927,0.0937044,-0.101685283,0.007990483,0.010320333,0.9082511,53.46376613,0.16171439,0.093618179,0.364769077,0.366785242,10.11358359,144.3676727,0.347828676,-0.003226242,-0.089686555,-0.058506653,0.909580267,-0.519698147,-0.824537045,-0.958660488,-1.085696579,-1.031444649,0.020883349,-1.591947903,0.4722405,0.0795085,0.70532,0.7530455,27.140356,188.4878845,-0.1693255,-0.293959,-0.6496855,-0.6394605,-13.1803865,-156.735687,0
29.6318054,0.06776925,-0.11002785,0.067861733,0.065992275,0.520068767,50.75828908,0.144282679,0.111874669,0.357298629,0.348310453,9.637720076,143.2986854,-0.32531182,-0.412697834,-0.280786759,-0.213241995,1.290837106,-0.442052235,-0.168834153,-0.595063442,-0.577621606,-0.406002248,1.310094571,-1.622789909,0.3736415,0.0894545,0.9020295,0.9321395,31.636543,196.139267,-0.2958085,-0.3591225,-0.6850135,-0.6964005,-11.321274,-158.7852935,0
32.5946121,0.069872217,-0.036280933,0.0324623,0.03539465,0.576302008,-21.20298305,0.193413012,0.09305556,0.308339934,0.309979102,9.382323545,138.5833645,0.387023088,-0.166615635,-0.431319912,-0.309000929,0.806293311,0.584147132,-0.025108723,-0.836176509,-0.729515014,-0.718693333,0.334322639,-1.428551509,0.6046415,0.150347,0.551259,0.626732,29.982834,195.9958955,-0.2905,-0.212383,-0.6205815,-0.6030715,-13.8060925,-160.409157,0
35.5574112,-0.0542991,-0.135700692,0.025469017,-0.000329475,-5.704323842,102.0482979,0.116725687,0.070974702,0.22329607,0.221905231,4.917094059,104.1368534,-0.295965245,-1.099322977,-0.228316225,-0.235294737,0.638046175,-1.331989457,-0.46933648,0.93393734,-0.457996941,-0.472305777,0.331305448,0.664700996,0.2083535,-0.029707,0.533382,0.5019705,8.8547775,196.3287505,-0.3001405,-0.3588795,-0.413987,-0.4336375,-13.7316935,-156.2780075,0
38.5202751,-0.0010305,-0.089885108,0.032763183,0.008484308,-5.740832433,29.44178149,0.112791755,0.063070353,0.223546326,0.228597971,4.791581075,147.4414882,0.39321089,-0.275745138,-0.183189005,-0.1596194,0.501579694,-0.190024775,-0.096728724,-0.213201029,-0.40275634,-0.327147815,-0.058709063,-1.791370211,0.3114065,0.063157,0.5175785,0.509595,6.66064,194.3020325,-0.192144,-0.237278,-0.440529,-0.4782045,-13.706734,-158.1530225,0
41.4830704,0.031850217,-0.106391467,0.047158675,0.028034733,-4.381569767,65.81755154,0.106216547,0.055829053,0.17782202,0.176925677,5.998231408,150.1932874,0.089640969,-0.595010615,-0.621405105,-0.55005513,0.57895614,-0.717821449,-0.98251258,-0.35521861,-0.229408609,-0.287584503,0.065248452,-1.398762813,0.2257425,-0.025558,0.3486305,0.3580925,12.3238055,197.3490295,-0.1611495,-0.249114,-0.3934255,-0.4205195,-14.324339,-159.6142655,0
44.4458542,0.088610833,-0.130580517,0.011898492,0.007205183,-0.236560717,115.9944799,0.102608297,0.082355695,0.207323107,0.202932564,6.58536808,125.6516256,-0.0618004,-0.710243802,-0.421398689,-0.525866983,0.525205745,-1.474559896,-0.386488622,0.106512423,-0.780572093,-0.563871889,-0.180367739,0.286680348,0.3293445,0.0275855,0.3529625,0.3514865,15.649392,196.853882,-0.129483,-0.333619,-0.4390035,-0.4650215,-13.8378955,-160.117516,0
47.4083481,0.075440842,-0.083362517,0.030027767,0.0219657,-1.840161067,22.45510054,0.135912542,0.072905042,0.180794661,0.184260535,7.003505835,156.3321688,0.760149031,-0.577596819,-0.846082776,-0.872751445,0.587589078,-0.018386191,-0.078209333,-0.521156915,-0.071512878,0.007275861,-0.495098896,-1.914359537,0.450702,0.0258775,0.31135,0.314878,15.277296,195.713181,-0.1286895,-0.2586325,-0.4149635,-0.440087,-13.4963235,-161.5417175,0
50.3710251,0.073706008,-0.1409073,0.01410095,0.007232308,-0.851167775,126.6026503,0.131307923,0.082595385,0.295461987,0.304756596,5.621966944,105.0120144,0.173307802,-0.002685787,-0.049898037,-0.039008967,0.50072326,-1.947059443,-0.425907882,-0.42268618,-0.813513897,-0.912950603,0.404884017,2.230457889,0.392067,0.0493675,0.636313,0.648528,16.7065655,195.0150755,-0.1798805,-0.320257,-0.560789,-0.59383,-12.3020545,-158.6016235,0
