time,gFx,gFy,gFz,Class
1552296640.00,370.880,890.112,316.224,1
1552296640.01,366.976,874.496,308.416,1
1552296640.02,366.976,870.592,308.416,1
1552296640.03,382.592,866.688,312.320,1
1552296640.04,390.400,866.688,320.128,1
1552296640.05,382.592,862.784,327.936,1
1552296640.06,398.208,874.496,324.032,1
1552296640.07,417.728,878.400,312.320,1
1552296640.08,413.824,878.400,316.224,1
1552296640.09,417.728,874.496,327.936,1
1552296640.10,425.536,874.496,347.456,1
1552296640.11,433.344,862.784,335.744,1
1552296640.12,452.864,862.784,335.744,1
1552296640.13,460.672,862.784,331.840,1
1552296640.14,464.576,851.072,343.552,1
1552296640.15,464.576,862.784,335.744,1
1552296640.16,468.480,874.496,339.648,1
1552296640.17,472.384,882.304,335.744,1
1552296640.18,484.096,894.016,351.360,1
1552296640.19,476.288,890.112,351.360,1
1552296640.20,456.768,874.496,327.936,1
1552296640.21,441.152,866.688,324.032,1
1552296640.22,402.112,882.304,316.224,1
1552296640.23,359.168,886.208,288.896,1
1552296640.24,308.416,897.920,277.184,1
1552296640.25,277.184,894.016,265.472,1
1552296640.26,288.896,890.112,269.376,1
1552296640.27,292.800,894.016,273.280,1
1552296640.28,320.128,901.824,288.896,1
1552296640.29,339.648,901.824,296.704,1
1552296640.30,366.976,878.400,300.608,1
1552296640.31,359.168,886.208,304.512,1
1552296640.32,378.688,878.400,312.320,1
1552296640.33,386.496,866.688,308.416,1
1552296640.34,398.208,851.072,312.320,1
1552296640.35,406.016,851.072,320.128,1
1552296640.36,409.920,866.688,327.936,1
1552296640.37,429.440,858.880,327.936,1
1552296640.38,460.672,854.976,327.936,1
1552296640.39,460.672,854.976,331.840,1
1552296640.40,476.288,858.880,320.128,1
1552296640.41,472.384,870.592,320.128,1
1552296640.42,468.480,890.112,304.512,1
1552296640.43,456.768,894.016,312.320,1
1552296640.44,448.960,901.824,312.320,1
1552296640.45,437.248,886.208,304.512,1
1552296640.46,421.632,886.208,312.320,1
1552296640.47,413.824,882.304,324.032,1
1552296640.48,406.016,866.688,327.936,1
1552296640.49,406.016,874.496,324.032,1
1552296640.50,378.688,882.304,308.416,1
1552296640.51,366.976,882.304,300.608,1
1552296640.52,363.072,882.304,288.896,1
1552296640.53,355.264,878.400,277.184,1
1552296640.54,363.072,882.304,292.800,1
1552296640.55,366.976,882.304,308.416,1
1552296640.56,406.016,886.208,320.128,1
1552296640.57,417.728,878.400,343.552,1
1552296640.58,421.632,874.496,347.456,1
1552296640.59,452.864,862.784,343.552,1
1552296640.60,441.152,854.976,347.456,1
1552296640.61,445.056,874.496,335.744,1
1552296640.62,441.152,878.400,335.744,1
1552296640.63,437.248,894.016,335.744,1
1552296640.64,425.536,886.208,324.032,1
1552296640.65,409.920,882.304,324.032,1
1552296640.66,382.592,878.400,316.224,1
1552296640.67,406.016,874.496,308.416,1
1552296640.68,409.920,882.304,320.128,1
1552296640.69,425.536,866.688,324.032,1
1552296640.70,417.728,870.592,316.224,1
1552296640.71,417.728,882.304,320.128,1
1552296640.72,417.728,882.304,320.128,1
1552296640.73,406.016,886.208,324.032,1
1552296640.74,413.824,894.016,320.128,1
1552296640.75,425.536,925.248,324.032,1
1552296640.76,441.152,940.864,347.456,1
1552296640.77,456.768,921.344,374.784,1
1552296640.78,452.864,905.728,374.784,1
1552296640.79,456.768,878.400,351.360,1
1552296640.80,445.056,878.400,351.360,1
1552296640.81,448.960,905.728,355.264,1
1552296640.82,437.248,917.440,351.360,1
1552296640.83,464.576,929.152,359.168,1
1552296640.84,495.808,913.536,351.360,1
1552296640.85,507.520,897.920,347.456,1
1552296640.86,507.520,878.400,331.840,1
1552296640.87,456.768,870.592,320.128,1
1552296640.88,421.632,854.976,320.128,1
1552296640.89,382.592,858.880,331.840,1
1552296640.90,355.264,847.168,324.032,1
1552296640.91,327.936,827.648,324.032,1
1552296640.92,308.416,835.456,320.128,1
1552296640.93,296.704,839.360,308.416,1
1552296640.94,304.512,835.456,324.032,1
1552296640.95,324.032,835.456,312.320,1
1552296640.96,331.840,827.648,300.608,1
1552296640.97,359.168,831.552,300.608,1
1552296640.98,366.976,847.168,304.512,1
1552296640.99,386.496,862.784,308.416,1
1552296641.00,398.208,886.208,261.568,1
1552296641.01,398.208,890.112,269.376,1
1552296641.02,398.208,886.208,284.992,1
1552296641.03,409.920,878.400,284.992,1
1552296641.04,413.824,874.496,296.704,1
1552296641.05,425.536,878.400,304.512,1
1552296641.06,406.016,866.688,320.128,1
1552296641.07,378.688,862.784,308.416,1
1552296641.08,359.168,854.976,316.224,1
1552296641.09,347.456,843.264,308.416,1
1552296641.10,351.360,847.168,292.800,1
1552296641.11,355.264,847.168,284.992,1
1552296641.12,370.880,858.880,281.088,1
1552296641.13,394.304,870.592,273.280,1
1552296641.14,421.632,878.400,265.472,1
1552296641.15,448.960,874.496,269.376,1
1552296641.16,456.768,862.784,300.608,1
1552296641.17,460.672,866.688,320.128,1
1552296641.18,445.056,866.688,308.416,1
1552296641.19,417.728,862.784,304.512,1
1552296641.20,413.824,851.072,277.184,1
1552296641.21,409.920,878.400,257.664,1
1552296641.22,417.728,878.400,253.760,1
1552296641.23,409.920,890.112,269.376,1
1552296641.24,425.536,882.304,281.088,1
1552296641.25,409.920,870.592,316.224,1
1552296641.26,429.440,870.592,320.128,1
1552296641.27,409.920,874.496,320.128,1
1552296641.28,409.920,882.304,292.800,1
1552296641.29,394.304,886.208,277.184,1
1552296641.30,374.784,878.400,257.664,1
1552296641.31,366.976,894.016,277.184,1
1552296641.32,359.168,894.016,269.376,1
1552296641.33,370.880,897.920,273.280,1
1552296641.34,398.208,890.112,281.088,1
1552296641.35,425.536,870.592,288.896,1
1552296641.36,433.344,858.880,300.608,1
1552296641.37,448.960,858.880,284.992,1
1552296641.38,460.672,866.688,292.800,1
1552296641.39,464.576,878.400,288.896,1
1552296641.40,472.384,870.592,288.896,1
1552296641.41,476.288,874.496,296.704,1
1552296641.42,488.000,862.784,308.416,1
1552296641.43,460.672,854.976,308.416,1
1552296641.44,441.152,851.072,320.128,1
1552296641.45,417.728,847.168,327.936,1
1552296641.46,417.728,839.360,316.224,1
1552296641.47,437.248,835.456,304.512,1
1552296641.48,445.056,847.168,292.800,1
1552296641.49,488.000,847.168,288.896,1
1552296641.50,523.136,847.168,292.800,1
1552296641.51,538.752,866.688,312.320,1
1552296641.52,534.848,870.592,331.840,1
1552296641.53,527.040,878.400,324.032,1
1552296641.54,499.712,858.880,331.840,1
1552296641.55,484.096,847.168,335.744,1
1552296641.56,452.864,823.744,343.552,1
1552296641.57,456.768,812.032,339.648,1
1552296641.58,460.672,827.648,343.552,1
1552296641.59,480.192,823.744,343.552,1
1552296641.60,476.288,808.128,331.840,1
1552296641.61,495.808,812.032,324.032,1
1552296641.62,499.712,819.840,324.032,1
1552296641.63,530.944,839.360,320.128,1
1552296641.64,527.040,819.840,343.552,1
1552296641.65,523.136,823.744,347.456,1
1552296641.66,519.232,815.936,355.264,1
1552296641.67,527.040,808.128,351.360,1
1552296641.68,523.136,796.416,359.168,1
1552296641.69,519.232,796.416,374.784,1
1552296641.70,515.328,796.416,366.976,1
1552296641.71,523.136,788.608,374.784,1
1552296641.72,530.944,784.704,359.168,1
1552296641.73,523.136,788.608,355.264,1
1552296641.74,530.944,800.320,347.456,1
1552296641.75,530.944,812.032,351.360,1
1552296641.76,530.944,812.032,355.264,1
1552296641.77,507.520,812.032,339.648,1
1552296641.78,519.232,815.936,343.552,1
1552296641.79,530.944,812.032,351.360,1
1552296641.80,527.040,804.224,359.168,1
1552296641.81,534.848,788.608,366.976,1
1552296641.82,530.944,784.704,351.360,1
1552296641.83,550.464,780.800,347.456,1
1552296641.84,538.752,780.800,347.456,1
1552296641.85,538.752,800.320,339.648,1
1552296641.86,530.944,804.224,343.552,1
1552296641.87,534.848,796.416,335.744,1
1552296641.88,538.752,808.128,347.456,1
1552296641.89,546.560,804.224,351.360,1
1552296641.90,554.368,804.224,363.072,1
1552296641.91,569.984,796.416,366.976,1
1552296641.92,569.984,815.936,382.592,1
1552296641.93,554.368,815.936,374.784,1
1552296641.94,530.944,815.936,347.456,1
1552296641.95,503.616,827.648,347.456,1
1552296641.96,488.000,839.360,343.552,1
1552296641.97,464.576,835.456,331.840,1
1552296641.98,472.384,827.648,343.552,1
1552296641.99,464.576,854.976,339.648,1
1552296642.00,484.096,858.880,351.360,1
1552296642.01,460.672,847.168,363.072,1
1552296642.02,460.672,843.264,347.456,1
1552296642.03,468.480,835.456,351.360,1
1552296642.04,484.096,835.456,359.168,1
1552296642.05,484.096,851.072,351.360,1
1552296642.06,503.616,831.552,355.264,1
1552296642.07,507.520,843.264,347.456,1
1552296642.08,480.192,819.840,320.128,1
1552296642.09,468.480,823.744,292.800,1
1552296642.10,460.672,827.648,296.704,1
1552296642.11,468.480,815.936,304.512,1
1552296642.12,460.672,808.128,308.416,1
1552296642.13,433.344,812.032,296.704,1
1552296642.14,437.248,808.128,284.992,1
1552296642.15,429.440,831.552,257.664,1
1552296642.16,433.344,851.072,253.760,1
1552296642.17,448.960,870.592,245.952,1
1552296642.18,472.384,890.112,253.760,1
1552296642.19,464.576,901.824,242.048,1
1552296642.20,452.864,897.920,238.144,1
1552296642.21,468.480,878.400,234.240,1
1552296642.22,464.576,870.592,222.528,1
1552296642.23,511.424,866.688,226.432,1
1552296642.24,499.712,858.880,210.816,1
1552296642.25,542.656,874.496,222.528,1
1552296642.26,558.272,854.976,218.624,1
1552296642.27,585.600,851.072,206.912,1
1552296642.28,577.792,819.840,199.104,1
1552296642.29,554.368,800.320,183.488,1
1552296642.30,534.848,804.224,171.776,1
1552296642.31,515.328,819.840,175.680,1
1552296642.32,515.328,858.880,179.584,1
1552296642.33,523.136,866.688,183.488,1
1552296642.34,523.136,858.880,163.968,1
1552296642.35,523.136,862.784,183.488,1
1552296642.36,542.656,874.496,191.296,1
1552296642.37,562.176,905.728,203.008,1
1552296642.38,538.752,913.536,210.816,1
1552296642.39,527.040,913.536,218.624,1
1552296642.40,511.424,897.920,218.624,1
1552296642.41,523.136,897.920,199.104,1
1552296642.42,527.040,905.728,199.104,1
1552296642.43,515.328,909.632,183.488,1
1552296642.44,515.328,913.536,191.296,1
1552296642.45,491.904,905.728,187.392,1
1552296642.46,448.960,897.920,183.488,1
1552296642.47,429.440,878.400,183.488,1
1552296642.48,409.920,874.496,179.584,1
1552296642.49,398.208,890.112,179.584,1
1552296642.50,394.304,890.112,183.488,1
1552296642.51,386.496,901.824,167.872,1
1552296642.52,402.112,901.824,175.680,1
1552296642.53,398.208,890.112,175.680,1
1552296642.54,413.824,878.400,163.968,1
1552296642.55,421.632,878.400,167.872,1
1552296642.56,448.960,866.688,167.872,1
1552296642.57,476.288,874.496,183.488,1
1552296642.58,503.616,854.976,175.680,1
1552296642.59,507.520,843.264,167.872,1
1552296642.60,534.848,847.168,163.968,1
1552296642.61,542.656,858.880,171.776,1
1552296642.62,554.368,858.880,160.064,1
1552296642.63,566.080,858.880,163.968,1
1552296642.64,593.408,870.592,167.872,1
1552296642.65,589.504,870.592,175.680,1
1552296642.66,577.792,878.400,191.296,1
1552296642.67,577.792,886.208,187.392,1
1552296642.68,569.984,897.920,167.872,1
1552296642.69,562.176,894.016,210.816,1
1552296642.70,519.232,909.632,210.816,1
1552296642.71,476.288,909.632,234.240,1
1552296642.72,409.920,909.632,206.912,1
1552296642.73,343.552,901.824,183.488,1
1552296642.74,300.608,870.592,171.776,1
1552296642.75,327.936,882.304,195.200,1
1552296642.76,413.824,874.496,214.720,1
1552296642.77,511.424,870.592,253.760,1
1552296642.78,597.312,839.360,273.280,1
1552296642.79,640.256,827.648,284.992,1
1552296642.80,628.544,819.840,281.088,1
1552296642.81,620.736,854.976,284.992,1
1552296642.82,593.408,874.496,288.896,1
1552296642.83,566.080,878.400,304.512,1
1552296642.84,562.176,882.304,347.456,1
1552296642.85,562.176,890.112,366.976,1
1552296642.86,542.656,886.208,382.592,1
