ax_mean,ay_mean,az_mean,standard_deviation_x,standard_deviation_y,standard_deviation_z,overall_dynamic_body,vectorial_dynamic_body,quan_01_x,quan_01_y,quan_01_z,quan_025_x,quan_025_y,quan_025_z,quan_05_x,quan_05_y,quan_05_z,quan_075_x,quan_075_y,quan_075_z,quan_09_x,quan_09_y,quan_09_z,skewness_x,skewness_y,skewness_z,kurtosis_x,kurtosis_y,kurtosis_z,sum_quantiles_min_01_x,sum_quantiles_min_01_y,sum_quantiles_min_01_z,sum_quantiles_min_squares_01_x,sum_quantiles_min_squares_01_y,sum_quantiles_min_squares_01_z,sum_quantiles_max_01_x,sum_quantiles_max_01_y,sum_quantiles_max_01_z,sum_quantiles_max_squares_01_x,sum_quantiles_max_squares_01_y,sum_quantiles_max_squares_01_z,sum_quantiles_min_05_x,sum_quantiles_min_05_y,sum_quantiles_min_05_z,sum_quantiles_min_squares_05_x,sum_quantiles_min_squares_05_y,sum_quantiles_min_squares_05_z,sum_quantiles_max_05_x,sum_quantiles_max_05_y,sum_quantiles_max_05_z,sum_quantiles_max_squares_05_x,sum_quantiles_max_squares_05_y,sum_quantiles_max_squares_05_z,sum_quantiles_min_09_x,sum_quantiles_min_09_y,sum_quantiles_min_09_z,sum_quantiles_min_squares_09_x,sum_quantiles_min_squares_09_y,sum_quantiles_min_squares_09_z,sum_quantiles_max_09_x,sum_quantiles_max_09_y,sum_quantiles_max_09_z,sum_quantiles_max_squares_09_x,sum_quantiles_max_squares_09_y,sum_quantiles_max_squares_09_z,pairwise_differences_005_01_x,pairwise_differences_005_01_y,pairwise_differences_005_01_z,pairwise_differences_01_025_x,pairwise_differences_01_025_y,pairwise_differences_01_025_z,pairwise_differences_025_05_x,pairwise_differences_025_05_y,pairwise_differences_025_05_z,average_absolute_difference,average_intensity,signal_magnitude_area,movement_variation,entropy,energy,activity_x,activity_y,activity_z,mobility_x,mobility_y,mobility_z,complexity_x,complexity_y,complexity_z,durbin_watson_x,durbin_watson_y,durbin_watson_z,correlation_magnitude_horizontal,correlation_magnitude_vertical,correlation_horizontal_vertical,Activity,ActivityName
-426.00773333333007,846.9456888888867,272.6531911111108,50.890471396956464,48.67801351403012,104.94108046863,693.5911466666663,993.8226592597541,-488.0,788.6080000000001,132.736,-456.76800000000003,815.936,175.68,-425.536,847.168,281.08799999999997,-390.4,874.4960000000001,363.07199999999995,-363.07199999999995,905.7280000000001,409.92,-0.37885074804309704,0.04636803626593208,0.0010541780104624157,0.6733807516504071,1.1656629492989588,-1.1752056174828378,-1182435.711999994,1744533.6319999993,324844.032,533707421.85165244,1426325423.0630488,63636801.57696041,-312542.5280000006,1193675.3279999965,642934.144000002,113864518.4880642,1069386096.8570927,239760300.47436976,-1182435.711999994,1744533.6319999993,324844.032,533707421.85165244,1426325423.0630488,63636801.57696041,-312542.5280000006,1193675.3279999965,642934.144000002,113864518.4880642,1069386096.8570927,239760300.47436976,-1182435.711999994,1744533.6319999993,324844.032,533707421.85165244,1426325423.0630488,63636801.57696041,-312542.5280000006,1193675.3279999965,642934.144000002,113864518.4880642,1069386096.8570927,239760300.47436976,19.519999999999982,19.519999999999982,15.615999999999985,19.519999999999982,27.327999999999975,42.94400000000002,31.232000000000028,31.23199999999997,105.40799999999996,27.993702328999845,0.0054026782237551274,0.4251022222222222,38.90769777777766,4556.880442972449,984241902224.0122,2589.8400790044443,2369.548999672099,11012.630369923478,0.31996631807827725,0.4052472709237324,0.1603666957081853,4.133571177272616,3.3075071439273636,8.523429416053132,0.0014400317841993808,0.0005405576066135167,0.0033172995699385344,41808550116.7657,-558915829.2873455,-237687437.96001056,0,STEPING
-407.8313599999982,856.2361244444411,266.8112888888886,65.01203946332949,66.83708468343056,118.37601621105937,715.2160533333354,994.8263734835388,-491.904,780.8,105.01760000000012,-448.96,812.0319999999999,156.16,-406.01599999999996,851.072,284.992,-363.07199999999995,890.112,366.976,-327.936,940.8639999999999,413.824,-0.11233002212329192,0.44372413041805076,-0.13995253724008738,0.06931416098471521,1.0193075634633173,-1.1400887823125188,-890436.0319999959,1893849.9199999936,280705.4079999998,408492922.22054744,1553771358.6462822,51953190.2156801,-549484.0960000042,1113393.4719999984,671944.768000003,194239375.888385,1035847709.6017867,252558639.1326733,-890436.0319999959,1893849.9199999936,280705.4079999998,408492922.22054744,1553771358.6462822,51953190.2156801,-549484.0960000042,1113393.4719999984,671944.768000003,194239375.888385,1035847709.6017867,252558639.1326733,-890436.0319999959,1893849.9199999936,280705.4079999998,408492922.22054744,1553771358.6462822,51953190.2156801,-549484.0960000042,1113393.4719999984,671944.768000003,194239375.888385,1035847709.6017867,252558639.1326733,27.327999999999975,23.423999999999864,23.03360000000012,27.327999999999975,31.23199999999997,51.14239999999988,42.94400000000002,39.04000000000008,128.83200000000002,44.25237190945082,0.005408134675093987,0.44136888888888887,50.87671111111096,4724.677303858369,1002263069549.9672,4226.565275181511,4467.195888980069,14012.881214000989,0.3270522591178368,0.43048067541419704,0.17319148119751318,3.734005177660486,2.8144036049841037,7.5156127691729235,0.0026499760753981912,0.0011220090172375128,0.004931961794712544,43100886892.644424,-718185533.7410402,-273050162.6422212,0,STEPING
-422.40954666666596,834.1937066666671,291.4607111111115,126.3253908182931,105.39409489847858,133.35538856944495,703.4964622222212,999.7475687979833,-609.024,691.008,116.72960000000013,-503.616,772.992,179.584,-402.11199999999997,843.2639999999999,288.89599999999996,-335.744,901.824,390.4,-277.184,964.288,476.288,-0.500375614955091,-0.2417677526831138,0.14177425298704,-0.13701484784467466,0.13950669636705815,-0.8093395269787482,-906329.2160000001,1697182.0159999984,323032.57599999954,492918544.28569686,1320946085.7938013,66369551.605760306,-596886.4640000009,1259773.9520000026,716981.3120000024,199789495.1772172,1184037001.125886,300798520.44697684,-906329.2160000001,1697182.0159999984,323032.57599999954,492918544.28569686,1320946085.7938013,66369551.605760306,-596886.4640000009,1259773.9520000026,716981.3120000024,199789495.1772172,1184037001.125886,300798520.44697684,-906329.2160000001,1697182.0159999984,323032.57599999954,492918544.28569686,1320946085.7938013,66369551.605760306,-596886.4640000009,1259773.9520000026,716981.3120000024,199789495.1772172,1184037001.125886,300798520.44697684,47.04319999999984,42.944000000000074,26.93760000000013,47.04319999999984,81.98399999999992,62.85439999999987,101.50400000000002,70.27199999999993,109.31199999999995,51.948754337723024,0.005434887571611748,0.40992,59.17813333333295,4661.66574033156,1028092143275.9502,15958.10436539449,11107.91523946951,17783.659660507652,0.2189586807276677,0.31909380173955426,0.1493804598910652,4.8326088119039765,3.7061125221795708,7.852370605117063,0.003934749065904646,0.0015993269884671728,0.0038617055520707563,44335390415.17217,-897920612.0887886,-388907215.19556075,0,STEPING
-484.5720711111111,800.7711288888879,264.96231111111143,135.7544151337155,116.14470951408968,163.10164965866767,584.783413333333,999.7247090177037,-671.8783999999999,636.352,54.656000000000006,-585.6,733.952,124.928,-472.384,812.0319999999999,257.664,-382.592,874.4960000000001,390.4,-319.7376000000004,929.1519999999999,499.712,-0.28671785706953845,-0.44098975785512046,0.1918126707364784,-0.43846823847690386,0.3807247678806509,-0.9060609578816492,-1369062.528000001,1889715.583999999,288009.7919999991,782620011.5691571,1435506731.5814443,56097627.394048214,-356095.5520000011,962000.2559999982,657187.6480000009,121280345.5098881,894701383.9912958,289904373.5920644,-1369062.528000001,1889715.583999999,288009.7919999991,782620011.5691571,1435506731.5814443,56097627.394048214,-356095.5520000011,962000.2559999982,657187.6480000009,121280345.5098881,894701383.9912958,289904373.5920644,-1369062.528000001,1889715.583999999,288009.7919999991,782620011.5691571,1435506731.5814443,56097627.394048214,-356095.5520000011,962000.2559999982,657187.6480000009,121280345.5098881,894701383.9912958,289904373.5920644,46.45760000000007,58.56000000000006,31.232000000000006,46.45760000000007,97.60000000000002,70.27199999999999,113.21600000000001,78.07999999999993,132.736,54.75644525216693,0.005434763299905988,0.36979555555555554,62.5930488888884,3774.929991510769,1032864126677.3329,18429.261228297164,13489.593548112276,26602.148121378767,0.20879181067024186,0.29885751035991076,0.15329382019698226,4.797000648424989,3.71535338529159,7.559169123132553,0.003171633622275493,0.0018397074335910267,0.00645582622802787,45711467436.23441,-1033747530.9901452,-508615972.03429836,0,STEPING
-515.9515555555553,769.8156622222211,282.9716800000006,138.32437502989615,130.99644222762234,171.62177819297824,544.1774755555552,999.6793909729358,-702.72,585.6,50.751999999999995,-612.928,690.032,131.76,-515.328,784.704,281.08799999999997,-413.824,858.88,421.63199999999995,-331.8399999999999,917.44,523.136,-0.20172248909886403,-0.423466858997897,0.04641681464142779,-0.4466739378096771,0.0816829616863437,-1.0835546833941605,-1600421.3760000009,1990384.1279999998,222816.8960000004,940500476.0105035,1469932492.9146972,41018410.278912134,-249906.75199999972,743684.6719999993,790763.0080000018,83923667.85740785,692962537.2876798,351900107.71865773,-1600421.3760000009,1990384.1279999998,222816.8960000004,940500476.0105035,1469932492.9146972,41018410.278912134,-249906.75199999972,743684.6719999993,790763.0080000018,83923667.85740785,692962537.2876798,351900107.71865773,-1600421.3760000009,1990384.1279999998,222816.8960000004,940500476.0105035,1469932492.9146972,41018410.278912134,-249906.75199999972,743684.6719999993,790763.0080000018,83923667.85740785,692962537.2876798,351900107.71865773,42.94399999999996,62.65919999999994,31.231999999999996,42.94399999999996,104.43200000000002,81.008,97.60000000000002,94.67199999999991,149.32799999999997,54.90341211767707,0.005434516939238622,0.42076444444444444,61.55198222222185,3467.061513590705,1032528370983.8849,19133.632727411357,17160.067876294794,29454.03475011982,0.20070116541858432,0.26546471508323377,0.1309448875986263,4.849648787260803,4.168531947146477,8.120196774746825,0.0027003152200163784,0.0019826337037037426,0.004609930160878101,47155659601.096344,-1145262329.5340703,-571008224.2275889,0,STEPING
-500.33013333333355,785.2603199999986,282.2949866666666,115.65192754199032,111.30816612615946,174.48675669826585,570.2551111111113,998.9362065782399,-663.68,624.64,50.751999999999995,-577.7919999999999,722.24,121.024,-484.096,806.1759999999999,292.8,-413.824,858.88,421.63199999999995,-359.168,905.7280000000001,523.136,-0.4074853537063782,-0.5590061097917972,0.01994413518162557,-0.35526279731726396,0.2718203942932176,-1.0434042125697318,-1558078.5920000016,2195359.7440000013,221290.43200000003,863318836.2567716,1679012408.4756548,42012396.66278425,-224183.29599999957,599221.0560000013,787276.7360000004,78558531.20716797,557175891.972095,352284567.39225745,-1558078.5920000016,2195359.7440000013,221290.43200000003,863318836.2567716,1679012408.4756548,42012396.66278425,-224183.29599999957,599221.0560000013,787276.7360000004,78558531.20716797,557175891.972095,352284567.39225745,-1558078.5920000016,2195359.7440000013,221290.43200000003,863318836.2567716,1679012408.4756548,42012396.66278425,-224183.29599999957,599221.0560000013,787276.7360000004,78558531.20716797,557175891.972095,352284567.39225745,50.752000000000066,54.65599999999995,31.231999999999996,50.752000000000066,97.60000000000002,70.272,93.69599999999991,83.93599999999992,171.776,52.706963781451314,0.005430476795750161,0.3784711111111111,59.56636444444419,3669.9291487798655,1027565709733.2538,13375.36834417778,12389.507846368713,30445.628263079827,0.22925470028280528,0.29450348031190404,0.1374469214655672,4.321525387008522,3.6972286800342578,8.028085314479661,0.0026650368530258964,0.0017078427995265812,0.005220893121070265,48895589781.73078,-1134983860.1543193,-575877035.5298613,0,STEPING
-473.63219555555577,797.7119111111125,296.2094933333342,124.88029227482694,108.22314583534691,169.50140468984964,620.8140800000003,999.7647849537249,-644.16,644.16,70.27199999999999,-562.1759999999999,733.952,136.64,-464.57599999999996,815.936,292.8,-382.592,866.688,441.152,-312.32,917.44,527.04,-0.23556701496047572,-0.5177713709618169,0.052829530893425715,-0.4290115163266317,0.4110903537957169,-1.1763163612609773,-1326024.8320000004,1894412.0960000018,256434.2399999994,733856807.8622754,1440154372.747277,49125655.06457628,-362162.36800000106,924959.1039999983,802408.6400000022,123073200.23040016,847851013.8572823,367999206.04364955,-1326024.8320000004,1894412.0960000018,256434.2399999994,733856807.8622754,1440154372.747277,49125655.06457628,-362162.36800000106,924959.1039999983,802408.6400000022,123073200.23040016,847851013.8572823,367999206.04364955,-1326024.8320000004,1894412.0960000018,256434.2399999994,733856807.8622754,1440154372.747277,49125655.06457628,-362162.36800000106,924959.1039999983,802408.6400000022,123073200.23040016,847851013.8572823,367999206.04364955,42.94399999999996,50.75199999999995,23.423999999999992,42.94399999999996,89.79200000000003,66.368,97.59999999999997,81.98400000000004,156.16000000000003,52.443086231460796,0.005434981163108064,0.45872,59.520817777777346,4053.7144242429295,1030419701725.6635,15595.087398646201,11712.249294498766,28730.72619183218,0.21501677175501246,0.3088781255746907,0.1355849131358797,4.498461337854694,3.6232657066931853,8.12214196937424,0.003004282946764074,0.0017237769447450057,0.004533490557636168,50710696714.90623,-1096219550.6308432,-555563400.2387027,0,STEPING
-427.01735111111043,832.5420977777769,280.9676266666666,108.44131926910235,100.08872366175586,166.22738590193106,686.4923733333329,998.9662685146699,-581.696,710.528,62.464,-499.712,772.992,128.832,-413.824,843.2639999999999,292.8,-347.45599999999996,890.112,421.63199999999995,-296.704,949.0623999999997,507.52,-0.4220054323987502,-0.29021259968917407,-0.009199884618666904,-0.3434919983722744,0.7143135176526245,-1.1653428752851283,-1033564.479999997,1559152.1919999977,221813.56800000055,530495381.3032974,1207358363.0295098,39904780.34944004,-484177.98400000314,1371006.7199999965,781799.4239999991,160656027.0458888,1266421748.1625628,341550590.4762887,-1033564.479999997,1559152.1919999977,221813.56800000055,530495381.3032974,1207358363.0295098,39904780.34944004,-484177.98400000314,1371006.7199999965,781799.4239999991,160656027.0458888,1266421748.1625628,341550590.4762887,-1033564.479999997,1559152.1919999977,221813.56800000055,530495381.3032974,1207358363.0295098,39904780.34944004,-484177.98400000314,1371006.7199999965,781799.4239999991,160656027.0458888,1266421748.1625628,341550590.4762887,39.039999999999964,58.559999999999945,31.232,39.039999999999964,62.46399999999994,66.368,85.88799999999998,70.27199999999993,163.96800000000002,56.752901618674784,0.005430640220248269,0.5216177777777778,59.1737955555552,4532.343889084818,1033617336850.144,11759.519724823389,10017.75260423933,27631.54382378951,0.2386643089142346,0.3483764703687484,0.14008676604648532,4.177657829947245,3.197274535475073,7.821213034252536,0.003449935486156242,0.0017286335952170257,0.005086593650706004,52197940835.76137,-1188634729.1980052,-559977464.8412068,0,STEPING
-704.2501511111109,413.2373155555542,235.5565155555561,274.7553081643282,418.8284155734666,139.1979126446976,693.8817777777781,991.5356075323323,-1085.312,-117.12,70.27199999999999,-934.032,-42.943999999999996,132.736,-687.1039999999999,552.416,206.912,-448.96,816.912,320.128,-363.07199999999995,878.4,456.76800000000003,-0.1584043621351207,-0.15043026592310255,0.5962974931234133,-1.344567517126302,-1.714565013469389,-0.40183479947232303,-2326920.639999999,1082122.4319999989,348615.48799999745,1984019760.2385979,872193079.9964261,62760203.03872014,-199533.43999999992,382896.51200000045,489421.0560000031,69674487.365632,354357083.18515176,204061501.33350477,-2326920.639999999,1082122.4319999989,348615.48799999745,1984019760.2385979,872193079.9964261,62760203.03872014,-199533.43999999992,382896.51200000045,489421.0560000031,69674487.365632,354357083.18515176,204061501.33350477,-2326920.639999999,1082122.4319999989,348615.48799999745,1984019760.2385979,872193079.9964261,62760203.03872014,-199533.43999999992,382896.51200000045,489421.0560000031,69674487.365632,354357083.18515176,204061501.33350477,50.75199999999995,35.135999999999996,19.519999999999996,50.75199999999995,74.17600000000002,62.464,246.9280000000001,595.36,74.17600000000002,74.13002540801476,0.00539024521626709,0.4760711111111111,48.74577777777759,-438.986489055718,1024238356141.001,75490.47936447494,175417.24169178042,19376.058884640865,0.08874075542475021,0.0581809756877911,0.13163229608209995,11.704959221560426,20.365328957698804,9.426557192794904,0.0010400321050264474,0.0017149689575466213,0.004483353433906702,53846354543.43082,-1207468578.8819227,-550503436.3976728,3,FEEDING
-907.1616355555532,120.96543999999952,179.97223111111083,182.96566797893612,271.9974636681537,94.29559567883638,735.8888177777782,986.9905565621235,-1132.16,-124.928,85.88799999999999,-1038.464,-70.27199999999999,109.31200000000001,-913.5360000000001,11.712,156.16,-827.648,206.912,218.62400000000002,-644.16,640.256,327.936,0.7160131425548446,1.1340590854386035,1.0693452851708616,0.5174919654514709,0.006080306870749563,0.5412031207163981,-3247464.319999992,435475.5839999983,438630.0159999945,3076105880.346633,319014928.49868107,72686822.26073596,-17497.727999999996,0.0,203171.96799999953,6665258.098688001,0.0,74236884.41036792,-3247464.319999992,435475.5839999983,438630.0159999945,3076105880.346633,319014928.49868107,72686822.26073596,-17497.727999999996,0.0,203171.96799999953,6665258.098688001,0.0,74236884.41036792,-3247464.319999992,435475.5839999983,438630.0159999945,3076105880.346633,319014928.49868107,72686822.26073596,-17497.727999999996,0.0,203171.96799999953,6665258.098688001,0.0,74236884.41036792,35.13599999999997,27.328000000000003,15.616,35.13599999999997,54.656000000000006,23.42400000000002,124.92799999999988,81.984,46.847999999999985,91.09871029793428,0.005365537138146912,0.31015111111111116,41.914862222222084,-4130.084458457483,1022934877875.3096,33476.43565897829,73982.62024190862,8891.659364426587,0.13808520246599934,0.05499198871587081,0.15189952640181847,7.178144456108349,24.58150255930059,10.06983842967627,0.00074512272588375,0.002524381460133807,0.004968414886333382,55547925706.8175,-1134927132.129146,-470072214.94147325,3,FEEDING
